Brook Abegaz, Affiliated Faculty, TBD
|Eric Chan-Tin|, Affiliated Faculty, Autonomous Vehicle Security
David B. Dennis, Affiliated Faculty, |ZettelGeist|
|Nicholas J. Hayward|, Affiliated Faculty, TBD
|William L. Honig|, Affiliated Faculty, Doyle Living Systems Lab
|Konstantin Läufer|, Affiliated Faculty, "|Metrics Dashboard|, |TE|"
Gregory J. Matthews, Affiliated Faculty, |Shape Analysis|
David B. Wetzel, Affiliated Faculty, |LUTE|
